Week	Day	Team1	Team2	B1	B2	P1-1	P1-2	P1-3	P2-1	P2-2	P2-3	Result	Patch	Notes	Link	Region
1	1	UOL	FNC	Rumble,Hecarim,Azir	Cassiopeia,Morgana,Thresh	Kalista	Maokai,Annie	Nunu,Kog'Maw	Gragas,Ashe	Gnar,Alistar	LeBlanc	2	5.9		fUTCX01vmdo	EU
1	1	GIA	OG	Lulu,Maokai,Rek'Sai	Urgot,Jax,Gragas	LeBlanc	Gnar,Thresh	Sejuani,Ashe	Morgana,Kalista	Rumble,Alistar	Evelynn	2	5.9		XoNxW8P2ycA	EU
1	1	GMB	EL	Kalista,Rek'Sai,LeBlanc	Cassiopeia,Gragas,Viktor	Azir	Lucian,Thresh	Gnar,Evelynn	Maokai,Alistar	Sejuani,Urgot	Vladimir	2	5.9		7h_Y8kd1l-s	EU
1	1	H2K	ROC	Urgot,Azir,Alistar	Thresh,LeBlanc,Maokai	Kalista	Rek'Sai,Morgana	Gnar,Fizz	Hecarim,Cassiopeia	Gragas,Lucian	Lulu	1	5.9		QCMslrPqSdw	EU
1	1	CW	SK	LeBlanc,Rek'Sai,Urgot	Cassiopeia,Gragas,Kalista	Evelynn	Maokai,Azir	Draven,Morgana	Gnar,Alistar	Lee Sin,Kassadin	Lucian	1	5.9		9niZ1T3N5yM	EU
1	2	OG	H2K	Ashe,Rek'Sai,Thresh	Alistar,Kalista,Urgot	Gragas	LeBlanc,Annie	Rumble,Vayne	Maokai,Sivir	Evelynn,Janna	Kassadin	1	5.9		n3YTsvy5Io4	EU
1	2	GIA	CW	Cassiopeia,Draven,Maokai	LeBlanc,Jax,Rek'Sai	Kalista	Jarvan IV,Morgana	Gnar,Xerath	Gragas,Azir	Urgot,Nautilus	Rumble	1	5.9		qxWk8qCsG90	EU
1	2	ROC	GMB	Gragas,Lucian,Rek'Sai	Kalista,Urgot,Sejuani	Azir	Maokai,Alistar	Lee Sin,Kog'Maw	Viktor,Thresh	Jax,Volibear	Ezreal	1	5.9		ygcVm-fT9Xg	EU
1	2	FNC	SK	Urgot,Kassadin,LeBlanc	Hecarim,Rumble,Gragas	Rek'Sai	Gnar,Alistar	Cassiopeia,Ashe	Azir,Kalista	Maokai,Nidalee	Bard	1	5.9		4-q2s0LtP6A	EU
1	2	EL	UOL	Cassiopeia,Morgana,Thresh	LeBlanc,Alistar,Kalista	Sivir	Rek'Sai,Nautilus	Rumble,Viktor	Gragas,Annie	Urgot,Maokai	Kog'Maw	2	5.9		Gza-be8Qw7Y	EU
2	1	EL	GIA	Rek'Sai,Jax,Ryze	Vladimir,LeBlanc,Gragas	Alistar	Hecarim,Kog'Maw	Sejuani,Viktor	Evelynn,Morgana	Maokai,Sivir	Diana	2	5.10	Ekko Disabled for Week 2	WK8opGt0FAQ	EU
2	1	FNC	ROC	Lulu,Alistar,Kalista	Hecarim,Rek'Sai,Rumble	Ryze	Azir,Nautilus	Evelynn,Ezreal	Gragas,Urgot	Maokai,Morgana	Irelia	1	5.10	Ekko Disabled for Week 2	FJxLXVHdo1s	EU
2	1	H2K	GMB	Viktor,Azir,Lucian	Maokai,Sivir,Ryze	Thresh	Rek'Sai,Kalista	Rumble,LeBlanc	Gragas,Lulu	Fizz,Ashe	Volibear	1	5.10	Ekko Disabled for Week 2	zhqBxyFdax0	EU
2	1	SK	OG	Alistar,Ryze,Gragas	Rek'Sai,Hecarim,LeBlanc	Evelynn	Azir,Kalista	Maokai,Nautilus	Rumble,Thresh	Sejuani,Urgot	Vladimir	2	5.10	Ekko Disabled for Week 2	L5TBbttNuVQ	EU
2	1	UOL	CW	Draven,Azir,Kalista	Kog'Maw,Varus,Rek'Sai	Cassiopeia	Ryze,Sivir	Gragas,Morgana	Maokai,Evelynn	Kassadin,Lucian	Bard	1	5.10	Ekko Disabled for Week 2	mrLtt8-e8z0	EU
2	2	GMB	FNC	Rumble,Hecarim,Kalista	Thresh,Lucian,Viktor	Ryze	Gragas,Alistar	Ahri,Sivir	Rek'Sai,Azir	Ezreal,Morgana	Cho'Gath	2	5.10	Ekko Disabled for Week 2	vS98onrq8EU	EU
2	2	GIA	SK	Kalista,LeBlanc,Gragas	Ryze,Azir,Rek'Sai	Evelynn	Ezreal,Morgana	Jax,Kog'Maw	Rumble,Alistar	Sejuani,Sivir	Zed	1	5.10	Ekko Disabled for Week 2	eAP6gWVILWA	EU
