Week	Day	Team	Player	Role	Champ	Kills	Deaths	Assists	Region	W	L
1	1	FNC	Huni	Top	Gnar	2	0	9	EU	1	0
1	1	FNC	Reignover	Jungle	Gragas	1	1	14	EU	1	0
1	1	FNC	Febiven	Mid	LeBlanc	4	2	6	EU	1	0
1	1	FNC	Rekkles	ADC	Ashe	7	0	3	EU	1	0
1	1	FNC	YellOwStaR	Support	Alistar	1	1	13	EU	1	0
1	1	OG	Soaz	Top	Rumble	1	2	12	EU	1	0
1	1	OG	Amazing	Jungle	Evelynn	5	2	8	EU	1	0
1	1	OG	xPeke	Mid	Morgana	5	0	7	EU	1	0
1	1	OG	Niels	ADC	Kalista	7	2	6	EU	1	0
1	1	OG	Mithy	Support	Alistar	0	1	16	EU	1	0
1	1	H2K	Odoamne	Top	Gnar	5	1	11	EU	1	0
1	1	H2K	Loulex	Jungle	Rek'Sai	1	2	12	EU	1	0
1	1	H2K	Ryu	Mid	Fizz	7	1	4	EU	1	0
1	1	H2K	Hjarnan	ADC	Kalista	6	1	7	EU	1	0
1	1	H2K	kaSing	Support	Morgana	4	1	13	EU	1	0
1	1	UOL	Vizicsacsi	Top	Maokai	1	5	3	EU	0	1
1	1	UOL	Kikis	Jungle	Nunu	0	5	2	EU	0	1
1	1	UOL	PowerOfEvil	Mid	Kog'Maw	1	1	2	EU	0	1
1	1	UOL	Vardags	ADC	Kalista	0	1	2	EU	0	1
1	1	UOL	Hylissang	Support	Annie	2	3	2	EU	0	1
1	1	GMB	Cabochard	Top	Gnar	0	4	3	EU	0	1
1	1	GMB	Diamond	Jungle	Evelynn	1	9	1	EU	0	1
1	1	GMB	Betsy	Mid	Azir	1	8	2	EU	0	1
1	1	GMB	Forg1ven	ADC	Lucian	2	4	2	EU	0	1
1	1	GMB	Gosu Pepper	Support	Thresh	0	1	4	EU	0	1
1	1	SK	Fredy122	Top	Gnar	1	5	0	EU	0	1
1	1	SK	Svenskeren	Jungle	Lee Sin	0	4	1	EU	0	1
1	1	SK	Fox	Mid	Kassadin	1	2	0	EU	0	1
1	1	SK	CandyPanda	ADC	Lucian	0	5	0	EU	0	1
1	1	SK	nRated	Support	Alistar	0	4	0	EU	0	1
1	1	CW	YoungBuck	Top	Maokai	2	0	13	EU	1	0
1	1	CW	Airwaks	Jungle	Evelynn	7	1	9	EU	1	0
1	1	CW	Soren	Mid	Azir	3	0	6	EU	1	0
1	1	CW	Freeze	ADC	Draven	8	0	5	EU	1	0
1	1	CW	Unlimited	Support	Morgana	0	1	14	EU	1	0
1	1	GIA	Werlyb	Top	Gnar	2	3	3	EU	0	1
1	1	GIA	Fr3deric	Jungle	Sejuani	0	4	6	EU	0	1
1	1	GIA	PePiiNeRo	Mid	LeBlanc	4	4	1	EU	0	1
1	1	GIA	Adryh	ADC	Ashe	1	4	3	EU	0	1
1	1	GIA	GoDFRED	Support	Thresh	0	3	6	EU	0	1
1	1	ROC	Steve	Top	Hecarim	1	8	2	EU	0	1
1	1	ROC	Jankos	Jungle	Gragas	0	3	4	EU	0	1
1	1	ROC	Nukeduck	Mid	Cassiopeia	2	4	3	EU	0	1
1	1	ROC	Woolite	ADC	Lucian	2	6	2	EU	0	1
1	1	ROC	Vander	Support	Lulu	0	2	4	EU	0	1
1	1	EL	Jwaow	Top	Maokai	3	0	16	EU	1	0
1	1	EL	Dexter	Jungle	Sejuani	9	0	11	EU	1	0
1	1	EL	Froggen	Mid	Vladimir	6	3	14	EU	1	0
1	1	EL	Tabzz	ADC	Urgot	8	0	10	EU	1	0
1	1	EL	promisQ	Support	Alistar	0	1	20	EU	1	0
1	2	FNC	Huni	Top	Gnar	2	4	6	EU	1	0
1	2	FNC	Reignover	Jungle	Rek'Sai	3	2	15	EU	1	0
1	2	FNC	Febiven	Mid	Cassiopeia	11	5	6	EU	1	0
1	2	FNC	Rekkles	ADC	Ashe	7	1	12	EU	1	0
1	2	FNC	YellOwStaR	Support	Alistar	1	2	14	EU	1	0
1	2	OG	Soaz	Top	Rumble	4	2	9	EU	1	0
1	2	OG	Amazing	Jungle	Gragas	3	0	9	EU	1	0
1	2	OG	xPeke	Mid	LeBlanc	5	1	6	EU	1	0
1	2	OG	Niels	ADC	Vayne	7	0	8	EU	1	0
1	2	OG	Mithy	Support	Annie	1	2	11	EU	1	0
1	2	H2K	Odoamne	Top	Maokai	0	4	2	EU	0	1
1	2	H2K	Loulex	Jungle	Evelynn	1	8	2	EU	0	1
1	2	H2K	Ryu	Mid	Kassadin	1	2	0	EU	0	1
1	2	H2K	Hjarnan	ADC	Sivir	3	4	1	EU	0	1
1	2	H2K	kaSing	Support	Janna	0	2	3	EU	0	1
1	2	UOL	Vizicsacsi	Top	Maokai	2	1	11	EU	1	0
1	2	UOL	Kikis	Jungle	Gragas	4	2	6	EU	1	0
1	2	UOL	PowerOfEvil	Mid	Kog'Maw	3	0	8	EU	1	0
1	2	UOL	Vardags	ADC	Urgot	4	2	4	EU	1	0
1	2	UOL	Hylissang	Support	Annie	1	1	9	EU	1	0
1	2	GMB	Cabochard	Top	Jax	3	4	3	EU	0	1
1	2	GMB	Diamond	Jungle	Volibear	4	5	5	EU	0	1
1	2	GMB	Betsy	Mid	Viktor	2	4	4	EU	0	1
1	2	GMB	Forg1ven	ADC	Ezreal	3	2	6	EU	0	1
1	2	GMB	Gosu Pepper	Support	Thresh	1	7	9	EU	0	1
1	2	SK	Fredy122	Top	Maokai	0	7	8	EU	0	1
1	2	SK	Svenskeren	Jungle	Nidalee	1	5	8	EU	0	1
1	2	SK	Fox	Mid	Azir	4	6	8	EU	0	1
1	2	SK	CandyPanda	ADC	Kalista	8	3	4	EU	0	1
1	2	SK	nRated	Support	Bard	1	3	11	EU	0	1
1	2	CW	YoungBuck	Top	Rumble	4	4	11	EU	0	1
1	2	CW	Airwaks	Jungle	Gragas	2	4	12	EU	0	1
1	2	CW	Soren	Mid	Azir	2	4	11	EU	0	1
1	2	CW	Freeze	ADC	Urgot	11	2	4	EU	0	1
1	2	CW	Unlimited	Support	Nautilus	0	6	13	EU	0	1
1	2	GIA	Werlyb	Top	Gnar	0	4	10	EU	1	0
1	2	GIA	Fr3deric	Jungle	Jarvan IV	2	4	15	EU	1	0
1	2	GIA	PePiiNeRo	Mid	Xerath	5	4	7	EU	1	0
1	2	GIA	Adryh	ADC	Kalista	11	3	8	EU	1	0
1	2	GIA	GoDFRED	Support	Morgana	2	4	16	EU	1	0
1	2	ROC	Steve	Top	Maokai	1	4	15	EU	1	0
1	2	ROC	Jankos	Jungle	Lee Sin	5	2	7	EU	1	0
1	2	ROC	Nukeduck	Mid	Azir	4	0	11	EU	1	0
1	2	ROC	Woolite	ADC	Kog'Maw	7	5	6	EU	1	0
1	2	ROC	Vander	Support	Alistar	5	2	13	EU	1	0
1	2	EL	Jwaow	Top	Rumble	2	4	3	EU	0	1
1	2	EL	Dexter	Jungle	Rek'Sai	1	2	3	EU	0	1
1	2	EL	Froggen	Mid	Viktor	1	4	3	EU	0	1
1	2	EL	Tabzz	ADC	Sivir	2	1	4	EU	0	1
1	2	EL	promisQ	Support	Nautilus	0	3	4	EU	0	1
2	1	FNC	Huni	Top	Ryze	6	8	10	EU	1	0
2	1	FNC	Reignover	Jungle	Evelynn	1	4	9	EU	1	0
2	1	FNC	Febiven	Mid	Azir	2	5	10	EU	1	0
